price;host_since;neighbourhood_cleansed;city;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;cleaning_fee;guests_included;minimum_nights;maximum_nights;number_of_reviews;instant_bookable;calculated_host_listings_count;apartment;house;private_room;shared_room;strict_cancel;flexible_cancel;moderate_cancel
105.0;2514.0;1;1;2.0;1.0;1.0;1.0;1;14;0.0;2.0;1.0;1125.0;17.0;1;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
96.0;3116.0;1;1;2.0;1.0;1.0;1.0;1;12;40.0;2.0;2.0;1125.0;2.0;1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
135.0;2039.0;1;1;2.0;1.0;1.0;2.0;1;16;75.0;1.0;2.0;90.0;4.0;1;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
105.0;4112.0;1;1;2.0;2.5;1.0;1.0;1;17;0.0;2.0;2.0;730.0;105.76055258877258;1;5.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
95.0;2276.0;1;1;2.0;1.0;1.0;1.0;1;14;30.0;1.0;1.0;30.0;36.0;1;3.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0
175.0;2050.0;0;1;5.0;1.0;2.0;2.0;1;18;50.0;1.0;1.0;1125.0;0.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
110.0;1957.0;1;1;4.0;1.0;1.0;1.0;1;13;0.0;1.0;1.0;1125.0;9.0;0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
215.0;2494.0;1;1;4.0;1.0;1.0;1.0;1;15;70.0;2.0;2.0;1125.0;34.0;1;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
180.0;2792.0;1;1;2.0;1.0;1.0;1.0;1;16;20.0;2.0;3.0;1125.0;1.0;1;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0
80.0;2543.0;1;1;2.0;1.0;1.0;1.0;0;18;0.0;1.0;1.0;1125.0;9.0;1;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0
